link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,date,hour,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,1626615977.000,13.359,21.748,14.913,0.700,14.913,1.076,0.072,0.000,0.000,0.051,0.003,0.072,0.000,93.828,31.100,0,0,1,2020-10-11,17,0.294
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,1626615885.000,47.069,39.768,36.506,0.390,48.467,0.932,0.026,4.492,0.000,0.012,0.000,0.026,0.000,66.653,34.400,0,0,0,2020-10-11,17,0.175
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,2,0,0,2020-10-11,17,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,1626615921.000,33.399,32.933,32.311,0.295,36.661,3.341,0.103,0.717,0.000,0.026,0.001,0.103,0.000,66.653,34.400,0,0,1,2020-10-11,17,0.131
"(708, 9, '0')",0,,1800.000,0.105,35,170250231,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170250231.000,22.991,22.991,,0.080,22.991,0.000,,,0.000,0.000,0.000,,0.000,66.653,34.400,0,0,1,2020-10-11,17,0.159
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2020-10-11,17,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,441459740.000,21.127,21.748,22.991,0.422,23.612,3.515,0.153,1.829,0.000,0.075,0.006,0.153,0.000,66.653,34.400,0,0,1,2020-10-11,17,0.234
"(708, 733, '0')",0,,1800.000,0.199,45,441459739,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,441459739.000,21.748,26.098,22.214,0.325,23.612,1.604,0.072,0.932,0.000,0.021,0.000,0.072,0.000,66.653,34.400,0,0,2,2020-10-11,17,0.379
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2020-10-11,17,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,1626615745.000,43.185,42.875,39.146,0.210,51.574,5.751,0.147,0.879,0.000,0.027,0.001,0.147,0.000,66.653,34.400,0,0,0,2020-10-11,17,0.213
"(2, 43, '0')",1,1093.000,1800.000,0.229,60,1626704648,[601346],LWRLK,6,200.000,1,60,0.229,0.150,4.000,0.229,1800.000,1626704648.000,70.370,65.244,71.458,0.690,70.836,0.595,0.008,0.717,0.000,0.012,0.000,0.008,0.000,14.243,24.900,5,0,2,2020-10-11,17,0.194
"(99, 43, '0')",1,1656.000,2400.000,0.210,65,1626704648,[601346],LWRLK,242,200.000,3,65,0.228,0.150,4.000,0.210,2400.000,1626704648.000,70.370,65.244,71.458,0.690,70.836,0.595,0.008,0.717,0.000,0.012,0.000,0.008,0.000,21.600,26.000,3,0,0,2020-10-11,17,0.193
"(369, 164, '0')",1,1602.000,1800.000,0.035,60,1626729452,[601209],LWRLK,7,180.000,1,60,0.035,0.150,4.000,0.035,1800.000,1626729452.000,68.506,64.001,68.040,0.295,68.972,0.595,0.009,0.621,0.000,0.010,0.000,0.009,0.000,20.750,29.300,0,0,0,2020-10-11,17,0.030
"(669, 164, '0')",1,1492.000,2400.000,0.210,65,1626729452,[601209],LWRLK,1552,200.000,3,65,0.227,0.150,4.000,0.210,2400.000,1626729452.000,68.506,64.001,68.040,0.295,68.972,0.595,0.009,0.621,0.000,0.010,0.000,0.009,0.000,20.750,29.300,0,0,0,2020-10-11,17,0.197
"(3, 38, '0')",1,1175.000,1800.000,0.089,55,,"[601411, 602411]",LWRLK,8,200.000,1,55,0.082,0.150,4.000,0.089,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,2020-10-11,17,0.089
