link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,date,hour,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,1626615977.000,11.340,18.020,15.379,0.833,12.427,1.061,0.069,0.932,0.000,0.083,0.007,0.069,0.000,93.828,31.100,0,0,1,2019-10-09,18,0.353
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,1626615885.000,24.544,36.040,25.942,0.750,29.826,3.676,0.142,1.711,0.000,0.106,0.011,0.142,0.000,66.653,34.400,2,0,0,2019-10-09,18,0.284
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,6,0,0,2019-10-09,18,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,1626615921.000,30.603,31.690,30.913,0.325,32.311,1.711,0.055,0.782,0.000,0.021,0.000,0.055,0.000,66.653,34.400,0,0,1,2019-10-09,18,0.149
"(708, 9, '0')",0,,1800.000,0.105,35,170250231,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170250231.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2019-10-09,18,0.105
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2019-10-09,18,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,441459740.000,10.563,19.263,12.738,0.882,13.670,2.914,0.229,0.621,0.000,0.275,0.076,0.229,0.000,66.653,34.400,0,0,1,2019-10-09,18,0.405
"(708, 733, '0')",0,,1800.000,0.199,45,441459739,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,441459739.000,25.010,24.855,17.709,0.290,27.340,2.400,0.136,0.621,0.000,0.024,0.001,0.136,0.000,66.653,34.400,0,0,2,2019-10-09,18,0.327
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2019-10-09,18,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,1626615745.000,24.233,39.768,33.399,0.375,29.826,4.893,0.146,1.378,0.000,0.076,0.006,0.146,0.000,66.653,34.400,0,0,0,2019-10-09,18,0.368
