link_key,speed_max,tt_avg,speed_sd,median_age,speed_ref_avg,inrix_id,road_closures,tt_sd,speed_hist_sd,incidents,tt_var,speed_hist_avg,speed_cv,bus_stops,tt_cv,median_inc,speed_avg,intersections,speed_ref_sd,date,hour
"(458, 460, '0')",21.127,0.350,1.924,36.500,26.098,1626703483.000,0.000,0.036,0.359,4,0.001,24.544,0.078,0,0.078,42.500,19.418,7,0.000,2020-10-06,16
"(459, 477, '0')",21.127,0.340,2.708,46.800,26.098,429471475.000,0.000,0.049,0.359,0,0.002,21.437,0.126,0,0.126,15.738,17.709,1,0.000,2020-10-06,16
"(459, 458, '0')",27.340,0.122,3.672,29.900,26.098,429471472.000,0.000,0.015,0.879,0,0.000,21.127,0.174,0,0.174,39.750,21.903,2,0.000,2020-10-06,16
"(461, 458, '0')",44.117,0.295,4.394,46.800,37.904,1626692488.000,0.000,0.037,7.157,0,0.001,31.069,0.141,0,0.141,15.738,38.525,1,0.000,2020-10-06,16
"(470, 458, '0')",21.127,0.150,1.924,25.600,26.098,429471473.000,0.000,0.016,0.359,0,0.000,24.544,0.078,0,0.078,42.628,19.418,2,0.000,2020-10-06,16
"(460, 483, '0')",0.000,0.000,0.000,36.500,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.500,0.000,0,0.000,2020-10-06,16
"(460, 457, '0')",19.263,0.348,1.644,36.500,19.263,1626650436.000,0.000,0.038,0.359,0,0.001,14.602,0.113,0,0.113,42.500,17.709,3,0.000,2020-10-06,16
"(486, 457, '0')",43.496,0.288,1.644,36.500,32.933,1626666463.000,0.000,0.015,1.190,0,0.000,32.622,0.050,0,0.050,42.500,41.321,0,0.000,2020-10-06,16
"(989, 457, '0')",22.991,0.290,0.359,36.500,26.098,1626719763.000,0.000,0.012,0.932,0,0.000,20.661,0.017,0,0.017,42.500,22.680,1,0.000,2020-10-06,16
"(465, 3, '0')",32.311,0.128,2.400,29.900,26.719,441671197.000,0.000,0.005,0.621,0,0.000,25.787,0.093,0,0.093,39.750,29.049,0,0.000,2020-10-06,16
"(466, 262, '0')",0.000,0.000,0.000,36.500,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.500,0.000,2,0.000,2020-10-06,16
"(467, 491, '0')",0.000,0.000,0.000,21.100,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.205,0.000,2,0.000,2020-10-06,16
"(467, 459, '0')",21.127,0.340,2.708,21.100,26.098,429471475.000,0.000,0.049,0.359,4,0.002,21.437,0.126,0,0.126,42.205,17.709,8,0.000,2020-10-06,16
