link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(1138, 1109, '0')",0.000,0.068,0.218,0.000,0.013,28.800,16.622,0.717,13.125,1,400073901.000,6,0.068,15.534,18.020,16.777,0.000,1.061,0,2020-10-06,16
"(1536, 1711, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(145, 49, '0')",0.000,0.014,0.660,0.000,0.012,28.700,66.642,0.311,39.191,0,1626766899.000,0,0.014,65.399,67.729,65.244,0.000,0.932,0,2020-10-06,16
"(536, 139, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(146, 160, '0')",0.000,0.052,0.160,0.000,0.012,34.400,50.797,0.000,66.653,0,429471469.000,0,0.052,55.923,53.438,55.923,0.000,2.887,3,2020-10-06,16
"(146, 48, '0')",0.000,0.052,0.160,0.000,0.012,34.400,50.797,0.000,66.653,0,429471469.000,1,0.052,55.923,53.438,55.923,0.000,2.887,5,2020-10-06,16
"(888, 1512, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(888, 874, '0')",0.000,0.053,0.695,0.000,0.026,26.700,20.971,0.621,30.907,0,449891914.000,1,0.053,20.195,22.369,26.098,0.001,1.061,0,2020-10-06,16
"(876, 874, '0')",0.000,0.053,0.695,0.000,0.026,26.700,20.971,0.621,30.907,0,449891914.000,1,0.053,20.195,22.369,26.098,0.001,1.061,0,2020-10-06,16
"(878, 874, '0')",0.000,0.036,0.690,0.000,0.024,26.700,21.748,0.000,30.907,0,449891939.000,1,0.036,19.884,22.369,29.204,0.001,0.717,0,2020-10-06,16
"(886, 874, '0')",0.000,0.058,0.560,0.000,0.034,33.800,26.253,0.782,54.944,0,449891940.000,1,0.058,21.903,27.962,29.826,0.001,1.281,0,2020-10-06,16
"(1119, 138, '0')",0.000,0.000,0.000,0.000,0.000,24.900,0.000,0.000,14.243,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(996, 138, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1119, 140, '0')",0.000,0.000,0.000,0.000,0.000,24.900,0.000,0.000,14.243,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(995, 140, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1119, 1460, '0')",0.000,0.083,1.123,0.000,0.082,24.900,19.729,0.932,14.243,0,1626637688.000,1,0.083,18.796,21.748,21.748,0.007,1.553,0,2020-10-06,16
"(1120, 1460, '0')",0.000,0.072,0.965,0.000,0.057,24.900,23.146,0.000,14.243,1,1626771082.000,5,0.072,19.263,24.233,24.233,0.003,1.378,2,2020-10-06,16
"(1119, 1461, '0')",0.000,0.072,0.965,0.000,0.057,24.900,23.146,0.000,14.243,0,1626771082.000,1,0.072,19.263,24.233,24.233,0.003,1.378,0,2020-10-06,16
"(1180, 1461, '0')",0.000,0.083,1.123,0.000,0.082,24.900,19.729,0.932,14.243,0,1626637688.000,0,0.083,18.796,21.748,21.748,0.007,1.553,0,2020-10-06,16
"(138, 1119, '0')",0.000,0.000,0.000,0.000,0.000,24.900,0.000,0.000,14.243,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(140, 1119, '0')",0.000,0.072,0.965,0.000,0.057,24.900,23.146,0.000,14.243,0,1626771082.000,1,0.072,19.263,24.233,24.233,0.003,1.378,0,2020-10-06,16
"(1460, 1119, '0')",0.000,0.072,0.965,0.000,0.057,24.900,23.146,0.000,14.243,0,1626771082.000,1,0.072,19.263,24.233,24.233,0.003,1.378,0,2020-10-06,16
"(1461, 1119, '0')",0.000,0.083,1.123,0.000,0.082,24.900,19.729,0.932,14.243,0,1626637688.000,1,0.083,18.796,21.748,21.748,0.007,1.553,0,2020-10-06,16
"(138, 1583, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(140, 1584, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(149, 145, '0')",0.000,0.014,0.660,0.000,0.012,28.700,66.642,0.311,39.191,0,1626766899.000,0,0.014,65.399,67.729,65.244,0.000,0.932,0,2020-10-06,16
"(151, 556, '0')",0.000,0.012,0.535,0.000,0.010,29.000,65.710,0.000,36.974,0,1626686767.000,0,0.012,64.001,66.487,65.244,0.000,0.782,1,2020-10-06,16
"(152, 154, '0')",0.000,0.012,0.350,0.000,0.000,29.000,65.710,0.000,36.974,0,1626686669.000,1,0.012,64.001,66.487,65.244,0.000,0.782,3,2020-10-06,16
"(153, 132, '0')",0.000,0.013,0.470,0.000,0.000,29.000,67.108,0.311,36.974,0,1626767125.000,0,0.013,65.399,68.351,65.865,0.000,0.879,0,2020-10-06,16
"(1624, 1576, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1624, 1436, '0')",0.000,0.040,0.360,0.000,0.012,24.700,23.301,0.621,29.375,0,441662994.000,1,0.040,20.195,24.233,21.748,0.000,0.802,0,2020-10-06,16
"(1625, 1436, '0')",0.000,0.000,0.000,0.000,0.000,24.900,0.000,0.000,14.243,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1437, 1436, '0')",0.000,0.105,0.133,0.000,0.013,24.900,29.204,0.621,14.243,0,441662996.000,3,0.105,25.166,31.690,26.719,0.000,2.636,0,2020-10-06,16
"(1439, 1436, '0')",0.000,0.040,0.360,0.000,0.012,24.900,23.301,0.621,14.243,1,441662994.000,5,0.040,20.195,24.233,21.748,0.000,0.802,0,2020-10-06,16
"(154, 547, '0')",0.000,0.015,0.472,0.000,0.005,26.700,66.642,0.000,30.907,0,1626737570.000,0,0.015,64.001,67.108,65.865,0.000,0.932,11,2020-10-06,16
"(551, 547, '0')",0.000,0.015,0.472,0.000,0.005,26.700,66.642,0.000,30.907,0,1626737570.000,0,0.015,64.001,67.108,65.865,0.000,0.932,14,2020-10-06,16
"(954, 994, '0')",0.000,0.000,0.000,0.000,0.000,46.800,0.000,0.000,15.738,4,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(954, 958, '0')",0.000,0.075,0.583,0.000,0.048,46.800,18.641,2.556,15.738,0,449891872.000,2,0.075,23.457,21.127,29.826,0.002,1.758,0,2020-10-06,16
"(1384, 1379, '0')",0.000,0.066,0.323,0.000,0.021,46.800,27.340,0.000,15.738,0,400073560.000,1,0.066,24.233,29.204,24.855,0.000,1.604,0,2020-10-06,16
"(947, 1379, '0')",0.000,0.128,0.028,0.000,0.005,46.800,26.564,1.176,15.738,1,400073537.000,2,0.128,20.039,29.826,22.991,0.000,2.556,0,2020-10-06,16
"(1384, 949, '0')",0.000,0.128,0.333,0.000,0.029,46.800,26.564,1.176,15.738,0,400032282.000,0,0.128,20.039,29.826,22.991,0.001,2.556,0,2020-10-06,16
"(931, 949, '0')",0.000,0.066,0.323,0.000,0.021,29.100,27.340,0.000,44.531,1,400073560.000,1,0.066,24.233,29.204,24.855,0.000,1.604,0,2020-10-06,16
"(155, 215, '0')",0.000,0.012,0.255,0.000,0.010,26.700,66.797,0.621,30.907,0,1626686650.000,0,0.012,64.312,67.729,65.865,0.000,0.802,14,2020-10-06,16
"(532, 215, '0')",0.000,0.127,0.255,0.000,0.026,26.700,37.127,0.359,30.907,0,1626647450.000,0,0.127,31.379,42.875,31.690,0.001,3.975,13,2020-10-06,16
"(156, 153, '0')",0.000,0.013,0.470,0.000,0.000,29.000,67.108,0.311,36.974,0,1626767125.000,0,0.013,65.399,68.351,65.865,0.000,0.879,0,2020-10-06,16
"(1379, 1384, '0')",0.000,0.128,0.333,0.000,0.029,46.800,26.564,1.176,15.738,0,400032282.000,1,0.128,20.039,29.826,22.991,0.001,2.556,0,2020-10-06,16
"(949, 1384, '0')",0.000,0.066,0.323,0.000,0.021,46.800,27.340,0.000,15.738,0,400073560.000,0,0.066,24.233,29.204,24.855,0.000,1.604,0,2020-10-06,16
"(1379, 947, '0')",0.000,0.066,0.025,0.000,0.006,46.800,27.340,0.000,15.738,1,400032304.000,2,0.066,24.233,29.204,24.855,0.000,1.604,0,2020-10-06,16
"(1378, 947, '0')",0.000,0.128,0.117,0.000,0.013,46.800,26.564,1.176,15.738,1,400032303.000,2,0.128,20.039,29.826,22.991,0.000,2.556,0,2020-10-06,16
"(648, 947, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(157, 1203, '0')",0.000,0.078,0.128,0.000,0.005,30.500,23.301,0.000,56.987,0,441679118.000,0,0.078,21.127,25.476,27.962,0.000,1.644,0,2020-10-06,16
"(1205, 1203, '0')",0.000,0.078,0.133,0.000,0.013,30.500,27.185,0.621,56.987,0,441679120.000,0,0.078,23.923,29.204,29.204,0.000,1.855,0,2020-10-06,16
"(1209, 1203, '0')",0.000,0.000,0.000,0.000,0.000,30.500,0.000,0.000,56.987,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(157, 1202, '0')",0.000,0.078,0.128,0.000,0.005,30.500,23.301,0.000,56.987,0,441679118.000,1,0.078,21.127,25.476,27.962,0.000,1.644,0,2020-10-06,16
"(1207, 1202, '0')",0.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,24.821,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1210, 1202, '0')",0.000,0.078,0.133,0.000,0.013,30.500,27.185,0.621,56.987,0,441679120.000,1,0.078,23.923,29.204,29.204,0.000,1.855,0,2020-10-06,16
"(1535, 1710, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(159, 823, '0')",0.000,0.079,0.992,0.000,0.065,30.500,29.360,0.879,56.987,0,1626685661.000,2,0.079,26.719,32.311,34.797,0.004,2.115,0,2020-10-06,16
"(387, 823, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1534, 1709, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1533, 1708, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(161, 85, '0')",0.000,0.017,0.100,0.000,0.000,24.900,66.021,0.717,14.243,0,1626662918.000,0,0.017,61.516,67.108,65.244,0.000,1.061,13,2020-10-06,16
"(328, 85, '0')",0.000,0.017,0.100,0.000,0.000,24.900,66.021,0.717,14.243,0,1626662918.000,0,0.017,61.516,67.108,65.244,0.000,1.061,8,2020-10-06,16
"(1532, 1707, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(162, 52, '0')",0.000,0.016,0.732,0.000,0.013,39.300,69.438,0.621,24.432,0,1626749030.000,0,0.016,66.797,70.836,67.729,0.000,1.061,14,2020-10-06,16
"(1531, 1706, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(163, 928, '0')",0.000,0.016,1.353,0.000,0.032,36.700,22.059,0.782,66.344,0,1626619658.000,2,0.016,21.903,22.369,26.098,0.001,0.359,0,2020-10-06,16
"(929, 928, '0')",0.000,0.051,1.435,0.000,0.095,36.700,20.661,0.782,66.344,1,1626619647.000,2,0.051,20.971,21.748,24.233,0.009,1.061,8,2020-10-06,16
"(163, 930, '0')",0.000,0.051,1.435,0.000,0.095,36.700,20.661,0.782,66.344,1,1626619647.000,2,0.051,20.971,21.748,24.233,0.009,1.061,3,2020-10-06,16
"(223, 930, '0')",0.000,0.016,1.353,0.000,0.032,36.700,22.059,0.782,66.344,1,1626619658.000,1,0.016,21.903,22.369,26.098,0.001,0.359,2,2020-10-06,16
"(1530, 1705, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(164, 205, '0')",0.000,0.027,0.260,0.000,0.012,29.300,66.953,0.000,20.750,0,400421634.000,1,0.027,62.758,68.972,64.001,0.000,1.711,3,2020-10-06,16
"(165, 268, '0')",0.000,0.016,0.250,0.000,0.000,25.900,67.108,0.000,27.250,0,1626766906.000,0,0.016,65.244,68.351,64.001,0.000,1.015,17,2020-10-06,16
"(1529, 1704, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1528, 1703, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1527, 1702, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(167, 185, '0')",0.000,0.030,0.400,0.000,0.016,16.600,54.059,1.176,37.414,0,429471443.000,0,0.030,61.050,55.923,60.273,0.000,1.829,0,2020-10-06,16
"(168, 161, '0')",0.000,0.013,0.622,0.000,0.005,24.900,68.195,0.621,14.243,0,1626758818.000,4,0.013,61.826,68.972,65.244,0.000,0.782,0,2020-10-06,16
"(293, 161, '0')",0.000,0.000,0.000,0.000,0.000,24.900,0.000,0.000,14.243,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1526, 1701, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1525, 1700, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(170, 207, '0')",0.000,0.013,0.622,0.000,0.005,26.000,68.195,0.621,21.600,0,1626758818.000,0,0.013,61.826,68.972,65.244,0.000,0.782,14,2020-10-06,16
"(170, 168, '0')",0.000,0.013,0.622,0.000,0.005,26.000,68.195,0.621,21.600,0,1626758818.000,0,0.013,61.826,68.972,65.244,0.000,0.782,14,2020-10-06,16
"(1524, 1699, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1523, 1698, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(172, 697, '0')",0.000,0.026,0.323,0.000,0.005,23.600,68.662,0.000,14.707,0,1626662911.000,0,0.026,60.273,70.215,65.244,0.000,1.564,3,2020-10-06,16
"(172, 302, '0')",0.000,0.026,0.323,0.000,0.005,23.600,68.662,0.000,14.707,0,1626662911.000,0,0.026,60.273,70.215,65.244,0.000,1.564,3,2020-10-06,16
"(1522, 1697, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1521, 1696, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(173, 167, '0')",0.000,0.030,0.400,0.000,0.016,16.600,54.059,1.176,37.414,0,429471443.000,1,0.030,61.050,55.923,60.273,0.000,1.829,0,2020-10-06,16
"(1520, 1695, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(174, 44, '0')",0.000,0.058,0.168,0.000,0.013,28.300,49.710,1.378,23.075,0,1626712378.000,1,0.058,45.515,52.817,44.739,0.000,2.636,21,2020-10-06,16
"(1519, 1694, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1518, 1693, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(177, 173, '0')",0.000,0.017,0.472,0.000,0.005,36.700,50.952,0.359,21.114,0,1626609698.000,0,0.017,52.506,51.574,52.817,0.000,0.879,0,2020-10-06,16
"(1517, 1692, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(178, 204, '0')",0.000,0.019,0.300,0.000,0.000,25.900,46.137,1.468,27.250,0,1626657866.000,0,0.019,48.001,47.224,49.088,0.000,0.932,4,2020-10-06,16
"(426, 204, '0')",0.000,0.019,0.300,0.000,0.000,25.900,46.137,1.468,27.250,0,1626657866.000,0,0.019,48.001,47.224,49.088,0.000,0.932,4,2020-10-06,16
"(1516, 1691, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1515, 1690, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(179, 183, '0')",0.000,0.015,0.310,0.000,0.012,23.600,66.953,0.621,14.707,0,1626662650.000,0,0.015,63.691,67.729,65.244,0.000,0.932,21,2020-10-06,16
"(180, 267, '0')",0.000,0.023,0.120,0.000,0.000,24.900,68.195,0.000,14.243,0,1626662719.000,0,0.023,67.729,70.215,65.865,0.000,1.553,6,2020-10-06,16
"(1514, 1689, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1513, 1688, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(181, 83, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1512, 1687, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(182, 99, '0')",0.000,0.020,0.718,0.000,0.013,24.900,68.351,0.000,14.243,0,1626704648.000,6,0.020,62.758,68.972,65.244,0.000,1.243,5,2020-10-06,16
"(1511, 1686, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1510, 1685, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(184, 108, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1509, 1684, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(185, 186, '0')",0.000,0.127,0.273,0.000,0.033,16.600,55.457,1.855,37.414,0,1626731633.000,0,0.127,50.176,59.652,47.846,0.001,6.365,0,2020-10-06,16
"(1508, 1683, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(186, 184, '0')",0.000,0.127,0.273,0.000,0.033,24.300,55.457,1.855,32.869,0,1626731633.000,0,0.127,50.176,59.652,47.846,0.001,6.365,0,2020-10-06,16
"(187, 188, '0')",0.000,0.013,0.667,0.000,0.013,16.600,68.040,0.621,37.414,0,1626666931.000,0,0.013,61.205,68.972,65.244,0.000,0.802,0,2020-10-06,16
"(1507, 1682, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(188, 87, '0')",0.000,0.015,0.330,0.000,0.000,16.600,68.195,0.000,37.414,0,1626658657.000,0,0.015,60.894,69.594,65.244,0.000,0.932,0,2020-10-06,16
"(1506, 1681, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1505, 1680, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(189, 182, '0')",0.000,0.020,0.718,0.000,0.013,24.900,68.351,0.000,14.243,0,1626704648.000,0,0.020,62.758,68.972,65.244,0.000,1.243,1,2020-10-06,16
"(1504, 1679, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(190, 69, '0')",0.000,0.073,0.558,0.000,0.029,31.700,63.225,0.000,44.740,0,1626640522.000,0,0.073,55.923,68.351,59.030,0.001,4.071,0,2020-10-06,16
"(191, 171, '0')",0.000,0.015,0.330,0.000,0.000,36.700,68.195,0.000,21.114,0,1626658657.000,0,0.015,60.894,69.594,65.244,0.000,0.932,0,2020-10-06,16
"(1503, 1678, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(192, 191, '0')",0.000,0.015,0.330,0.000,0.000,16.600,68.195,0.000,37.414,0,1626658657.000,0,0.015,60.894,69.594,65.244,0.000,0.932,0,2020-10-06,16
"(1502, 1677, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1501, 1676, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1613, 1788, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1500, 1675, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1499, 1674, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1498, 1673, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(195, 196, '0')",0.000,0.010,0.430,0.000,0.000,31.700,68.195,0.717,44.740,0,1626686444.000,0,0.010,61.516,68.972,62.137,0.000,0.595,0,2020-10-06,16
"(1497, 1672, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(196, 102, '0')",0.000,0.023,0.525,0.000,0.006,31.700,67.574,0.359,44.740,0,1626686346.000,2,0.023,60.584,68.972,60.894,0.000,1.378,1,2020-10-06,16
"(197, 270, '0')",0.000,0.027,0.465,0.000,0.010,28.900,64.778,0.359,30.543,0,1626654364.000,1,0.027,60.584,67.108,60.894,0.000,1.634,7,2020-10-06,16
"(620, 270, '0')",0.000,0.027,0.465,0.000,0.010,28.900,64.778,0.359,30.543,0,1626654364.000,1,0.027,60.584,67.108,60.894,0.000,1.634,7,2020-10-06,16
"(1496, 1671, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1495, 1670, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(198, 202, '0')",0.000,0.017,0.250,0.000,0.000,29.500,65.555,0.000,20.893,0,1626642604.000,2,0.017,62.758,66.487,64.001,0.000,1.076,28,2020-10-06,16
"(1494, 1669, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(199, 78, '0')",0.000,0.029,0.250,0.000,0.000,28.300,68.195,0.311,41.544,0,1626686417.000,3,0.029,62.292,69.594,62.137,0.000,1.785,1,2020-10-06,16
"(1493, 1668, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1492, 1667, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(200, 84, '0')",0.000,0.021,0.650,0.000,0.016,28.300,67.729,0.621,41.544,0,1626686435.000,0,0.021,63.691,69.594,65.865,0.000,1.342,0,2020-10-06,16
"(1491, 1666, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(201, 199, '0')",0.000,0.029,0.250,0.000,0.000,28.300,68.195,0.311,41.544,0,1626686417.000,1,0.029,62.292,69.594,62.137,0.000,1.785,4,2020-10-06,16
"(1490, 1665, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(202, 411, '0')",0.000,0.179,0.353,0.000,0.070,29.500,39.302,1.293,20.893,1,1626701509.000,6,0.179,44.428,49.088,44.739,0.005,7.931,2,2020-10-06,16
"(202, 289, '0')",0.000,0.179,0.353,0.000,0.070,29.500,39.302,1.293,20.893,0,1626701509.000,6,0.179,44.428,49.088,44.739,0.005,7.931,10,2020-10-06,16
"(203, 415, '0')",0.000,0.085,0.318,0.000,0.025,29.500,34.175,1.522,20.893,0,1626677778.000,0,0.085,34.175,38.525,42.875,0.001,2.914,0,2020-10-06,16
