link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(253, 250, '0')",0.000,0.197,0.432,0.000,0.074,21.100,30.758,0.359,42.205,0,1626706657.000,2,0.197,24.544,36.661,31.690,0.005,4.826,15,2020-10-06,16
"(7, 559, '0')",0.000,0.072,0.400,0.000,0.024,34.400,28.117,0.000,66.653,0,441458238.000,0,0.072,24.855,30.447,31.069,0.001,1.785,0,2020-10-06,16
"(8, 640, '0')",0.000,0.020,0.445,0.000,0.010,24.600,65.555,0.000,36.042,0,1626704618.000,0,0.020,60.894,67.108,64.001,0.000,1.190,21,2020-10-06,16
"(105, 82, '0')",0.000,0.000,0.000,0.000,0.000,34.400,0.000,0.000,66.653,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(105, 23, '0')",0.000,0.114,0.158,0.000,0.022,34.400,19.729,0.000,66.653,0,429471468.000,2,0.114,24.855,22.991,29.204,0.000,2.842,0,2020-10-06,16
"(62, 23, '0')",0.000,0.072,0.145,0.000,0.010,34.400,28.117,0.000,66.653,0,1626735696.000,1,0.072,24.855,30.447,31.069,0.000,1.785,0,2020-10-06,16
"(95, 23, '0')",0.000,0.124,0.235,0.000,0.031,34.400,38.836,1.522,66.653,0,1626615745.000,1,0.124,42.253,44.117,42.875,0.001,5.236,1,2020-10-06,16
"(9, 708, '0')",0.000,0.000,0.380,0.000,0.000,34.400,4.971,0.000,66.653,0,170451683.000,1,0.000,4.971,4.971,8.078,0.000,0.000,0,2020-10-06,16
"(707, 708, '0')",0.000,0.049,0.412,0.000,0.022,34.400,20.505,0.000,66.653,0,441679176.000,1,0.049,18.020,21.748,26.098,0.000,0.879,0,2020-10-06,16
"(737, 708, '0')",0.000,0.210,0.348,0.000,0.056,34.400,16.156,0.000,66.653,0,441679174.000,1,0.210,14.292,20.505,21.748,0.003,3.002,0,2020-10-06,16
"(9, 1230, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(82, 237, '0')",0.000,0.000,0.000,0.000,0.000,34.400,0.000,0.000,66.653,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
